id,english,hebrew
C60CF4EC-C188-48D7-BD65-F61E9B0CD10A,zero,אֶפֶס
EA9DC9C2-A98E-42D4-BD3F-0AF80DB093D4,one,אַחַת
00E55DF0-0C6E-4B23-AE6D-4AEBD27293FE,two,שְׁתַּיִם
5B6F7B28-D99E-4DB3-B824-DB1F7D54B259,three,שָׁלוֹשׁ
4B50AABC-79B0-4DCD-988E-DFB0AC549C4A,four,אַרְבַּע
74093812-C029-4270-AD4C-F933CE31F1C9,five,חָמֵשׁ
279A008D-191E-4448-BF1F-1F994A5E6C01,six,שֵׁשׁ
293B4698-1139-4B86-BDB8-92F27FF52B6C,seven,שֶׁבַע
2CB8E473-93CD-4261-828C-15BE09E5C6E1,eight,שְׁמוֹנֶה
F0D9A3C4-3BF5-42A8-9A3B-9F7E1A400D71,nine,תֵּשַׁע
2C1F4A7A-D219-4D86-98F4-C9609ECC4A91,ten,עֶשֶׂר
C4660A59-8409-413A-BE7A-3D4C0F6EC284,eleven,אֲחַת-עֶשְׂרֵה
80ACD46C-D93F-4980-B2C1-65801CB03E9E,fast (pl. f.),צָמוֹת
A1F965DD-20E2-41AB-B2B8-DBE0CC63CEE3,happy (m.),שְמֶחַ
EFAEE394-7325-473A-B250-876932378F4D,happy (f.),שְמֵחָה
56467BD4-F766-424A-8E5E-3DB7554CE895,when,מָתַי
EACF09A2-2200-48D6-B031-0507ECB1947A,band/group,לַהֲקָה
A531635C-B5A8-468F-9FB4-A3521D41FA00,play (musical instrument),מְנַגֶּנֶת
1B5C2C03-4733-4545-BFFD-33CCA314EF7F,religion,דָּת
6C0DBDE0-CD2F-42B2-BE44-DA638740A535,religions,דָּתוֹת
AAFBEF2D-40C6-4522-B867-E0B692D53EB9,school,לִמּוּדִי
29A944D2-2DE8-4AEA-8E67-DCD4EA514B3C,religious studies,לימודי דתות (limuday datot)
29878FAA-29D5-454E-8746-6391ECEA4759,do you come from a religious house?,? את באה מבית דתי
A342C957-8E01-47EB-A15D-20213CDFFF4E,to come,לָבוֹא
CFC68B89-A1D3-4D66-AF57-063883594B21,come,בָּא
4F439BEC-A80C-4297-8EDC-2E1DEC1AEA8B,come (f.),בָּאָה
54974A76-4918-4603-BC6D-1E6E24B7E0D3,come (pl. m.),בָּאִים
041A546D-706F-4F13-9367-88715B114A0E,come (pl. f.),בָּאוֹת
1A81A7DE-027A-40B9-854D-F313E6C0F8FC,to run,לָרוּץ
10928A7B-6583-4177-A3E6-C4A4AA69F375,run (m.),רָץ
382E8A25-25CF-4E1E-B4E4-08AC4E95D90C,run (f.),רָצָה
D3B98106-A7A6-4797-B248-B2EBC7101935,run (pl. m.),רָצִים
CD980AE4-66EF-4000-A82C-EFBA7DE5A6EA,run (pl. f.),רָצוֹת
6D08FAE4-CF84-4E02-99D2-56CEB5963CA9,to get up,לָקוּם
2670B4C1-553E-4F56-B416-92B91D9B88AC,get up (m.),קָם
7EB42927-0E76-4840-8BEF-76221E7EC768,get up (f.),קָמָה
E4D4DB07-BA0D-4898-BBAD-A3D1617E697E,get up (pl. m.),קָמִים
BDF271BA-976C-4B47-BDE2-5FF3699C01D9,get up (pl. f.),קָמוֹת
A1C74647-93B7-4FC4-9C58-9A37F329C8E8,to sing,לָשִׁיר
3A7F1E44-315F-4BF4-AAB7-30018001DE6A,sing (m.),שָׁר
B201EF57-B180-48BF-AA36-044A0F51390F,sing (f.),שָׁרָה
AEF247F5-4D1A-41A7-BE6F-CBC2348AC7C4,sing (pl. m.),שָׁרִים
23ACB337-0484-49E3-82F5-934E7EE344B1,sing (pl. f.),שָׁרוֹת
C9502C04-C105-4F54-ABBB-26DB2CBC7581,to fast,לָצוּם
40647CFE-FBBB-4EB2-8967-EC1C0B37B101,fast (m.),צָם
03A9BBF4-36C6-48FC-BC54-7A0555896928,fast (f.),צָמָה
B0875DA3-E7B5-4F8B-AA21-BEFE636B5BF3,fast (pl. m.),צָמִים
F9AFD5DE-A4A8-4B8A-B521-3D98C914C420,twelve,שְׁתֵּים-עֶשְׂרֵה
4C429AF7-52C3-4632-B3DE-44A91EC630CF,thirteen,שְׁלוֹשָה-עֶשְׂרֵה
EE5AF9A2-83BB-4454-95D6-732EAEED8E22,fourteen,אַרְבַּע-עֶשְׂרֵה
DE3FC3D1-60FF-4EAD-8642-E1760661A6FB,fifteen,חֲמֵשׁ-עֶשְׂרֵה
B1054CE3-7AAC-4E68-A030-3EC634E6AA85,sixteen,שֵׁש-עֶשְׂרֵה
D453625F-8340-45F4-838C-5703DCEADEA2,seventeen,שְׁבַע-עֶשְׂרֵה
745EA970-B085-44E2-9894-85FDD5240356,eighteen,שְמוֹנֶה-עֶשְׂרֵה
B13D9A72-1F66-422E-9C9D-BEA5C08FB977,nineteen,תְּשַׁע-עֶשְׂרֵה
F4E09075-568F-4FFA-8881-21DE7FD8FD73,twenty,עֶשְׂרִים
49B774F1-35CE-45BE-AE3F-7ABA405A7838,software developer (f),מְפַתֵּחַת תּוּכַנְהָּ
31E8FB1B-946F-40D0-9501-2B86056D604F,two years (double),שְׁנָתִיִּים
DDD84ED5-B54B-494D-BFC5-91E8AABE4B82,two months (double),חָדְשָׁיִם
02E6B1FC-594F-49AD-A028-2083BE943D81,how many,כַּמָּה
E730927E-9742-4A0D-A28A-44F6BF486CFC,happy (pl. f),שְׂמֵחוֹת
B6B56C58-4FEB-4A6B-8AA2-E623C078DA35,I work at...,אֲנִי עוֹבֶדֶת ב
BE9FCF23-F7DA-4D05-8C21-3CBDBD55B5BE,what are you doing?,מָה אַתְּ עוֹשָׂה
907974F7-46C3-45DF-9A8A-723C2E0E93EB,to live,לָגוּר
546E5BC5-EC96-4792-AA2B-109B2FA7C9DE,live,גר
ACA72FC6-04B5-4138-9EA3-61D769273757,live (f.),גרה
7F19F289-BC49-46B7-AF69-754D11CC89DC,live (pl. m.),גרים
F629ED5D-FF96-488E-8B14-31CB7A54E22E,live (pl. f.),גרות
