<uncertain> רתח
killing רצח
only רק
spice רקח
permission רשׁיון
boil רתח
broom רתם
bind רתם
Rithmah רתמה
bind רתק
chains רתקות
trembling רתת 
