refuge חסות
lack חסר
Huppim חפים
be ashamed חפר
strangle חנק
loyal חסיד
want חסר
hollow חפן
Hepherite חפרי
Hannathon חנתן
heron חסידה
diminish חסר
Hophni חפני
Hapharaim חפרים
Hophra חפרע
Hazor חצור
Hazar Addar חצר אדר
Hezronite חצרוני
Hor Haggidgad חר הגדגד
cloth חפשׁ
middle חצות
Hazar Gaddah חצר גדה
Hazeroth חצרות
hiding-place חר
be free חפשׁ
half חצי
Hazar Susah חצר סוסה
Hezro חצרי
noble one חר
freedom חפשׁה
arrow חצי
Hazar Susim חצר סוסים
Hazarmaveth חצרמות
hole חר
free חפשׁי
grass חציר
Hazar Enan חצר עינון
portion חק
dagger חרב
exempt חפשׁית
leek חציר
Hazar Enan חצר עינן
regulation חקה
dryness חרב
<uncertain> חפשׂ
reed חציר
Hazar Shual חצר שׁועל
carve חקה
dry חרב
search חפשׂ
bosom חצן
court חצר
Hakupha חקופא
Horeb חרב
arrow חץ
pebble חצץ
sound clarion חצר
Hukkok חקק
slaughter חרב
hew חצב
divide חצץ
Hezro חצרו
engrave חקק
be dry חרב
divide חצה
Hazazon Tamar חצצן תמר
Hezron חצרון
exploration חקר
dry ground חרבה
Hazor Hadattah חצור חדתה
clarion חצצרה
Hezron חצרון
explore חקר
ruin חרבה
heat חרבון
Harhaiah חרהיה
Haruz חרוץ
axe חריץ
Hormah חרמה
Harbona חרבונא
string of shells חרוזים
Harhur חרחור
slice חריץ
Hermon חרמון
Harbona חרבונה
chickling חרול
Harhas חרחס
ploughing חרישׁ
sacred places חרמונים
come out חרג
Harumaph חרומף
heat חרחר
<uncertain> חרישׁי
sickle חרמשׁ
locust חרגל
anger חרון
stylus חרט
start? חרך
<town> חרן
trembling חרד
Horonaim חרונים
magician חרטם
lattice חרכים
Haran חרן
tremble חרד
Haruphite חרופי
Horite חרי
ban חרם
Horonite חרני
trembling חרדה
threshing instrument חרוץ
heat חרי
net חרם
Harnepher חרנפר
Haradah חרדה
cut חרוץ
cake חרי
Harim חרם
scabies חרס
Harodite חרדי
gold חרוץ
Hori חרי
Horem חרם
sun חרס
diminish חרה
moat חרוץ
purse חריט
mutilate חרם
sherd חרסית
be hot חרה
assiduous חרוץ
Hariph חריף
consecrate חרם
autumn חרף
youth חרף
be hot חרר
Horesh חרשׁה
Heshbon חשׁבון
wear out חשׁל
Hareph חרף
lava desert חררים
Harosheth Haggoyim חרשׁת הגוים
Hashabiah חשׁביה
Husham חשׁם
confuse חרף
artisan חרשׁ
work חרשׁת
Hashabiah חשׁביהו
Hushim חשׁם
spend autumn חרף
deaf חרשׁ
clay חרשׂ
Hashabnah חשׁבנה
Hashum חשׁם
reproach חרף
wood חרשׁ
Hereth חרת
Hashabneiah חשׁבניה
Heshmon חשׁמון
reproach חרפה
silence חרשׁ
engrave חרת
be silent חשׁה
<kind of metal> חשׁמל
be eager חרץ
craftsman חרשׁ
girdle חשׁב
Hasshub חשׁוב
Hashmonah חשׁמנה
cut off חרץ
<uncertain> חרשׁ
account חשׁב
joint חשׁוק
bronze ware חשׁמנים
fetter חרצב
Heresh חרשׁ
Hashbaddanah חשׁבדנה
darkness חשׁך
breast-piece חשׁן
grape חרצן
plough חרשׁ
Hashubah חשׁבה
dark חשׁך
desire חשׁק
grind חרק
be deaf חרשׁ
account חשׁבון
be dark חשׁך
spoke חשׁק
be hoarse חרר
Harsha חרשׁא
invention חשׁבון
darkness חשׁכה
love חשׁק
nave חשׁר
Heth חת
seal חתם
<uncertain> חשׁרה
terror חתה
sealing ring חתמת
dried grass חשׁשׁ
knock down חתה
son-in-law חתן
Hushathite חשׁתי
rake together חתה
be father-in-law חתן
Hasupha חשׂופא
bandage חתול
marriage חתנה
<uncertain> חשׂופי
terror חתחתים
robber חתף
withhold חשׂך
Hittite חתי
snatch away חתף
handful חשׂף
terror חתית
dig חתר
accelerate חשׂף
be determined חתך
terror חתת
strip חשׂף
swaddle חתל
Hathath חתת
terror חת
swaddling band חתלה
be terrified חתת
terror-filled חת
Hethlon חתלן 
