long יאב
kindle יצת
Jaakan יעקן
Iphdeiah יפדיה
shine יפע
couch יצוע
pit יקב
wood יער
beautiful יפה
splendour יפעה
Isaac יצחק
Jekabzeel יקבצאל
burning יקד
precious יקיר
Jokshan יקשׁן
descend ירד
moon ירח
burn יקד
Jekamiah יקמיה
Joktheel יקתאל
Jordan ירדן
Jerah ירח
Jokdeam יקדעם
Jokmeam יקמעם
afraid ירא
<uncertain> ירה
Jeroham ירחם
Jakeh יקה
Jekameam יקמעם
fear ירא
be stupefied ירה
Jerahmeel ירחמאל
obedience יקהה
Jokneam יקנעם
fear יראה
cast ירה
Jerahmeelite ירחמאלי
fire-place יקוד
turn יקע
Iron יראון
teach ירה
Jarha ירחע
<uncertain> יקוט
awake יקץ
Irijah יראייה
Jeruel ירואל
throw ירט
substance יקום
rare יקר
the great king ירב
Jaroah ירוח
Jeriel יריאל
fowler יקושׁ
preciousness יקר
Jerub-Baal ירבעל
green plants ירוק
opponent יריב
Jekuthiel יקותיאל
be precious יקר
Jeroboam ירבעם
Jerusha ירושׁא
Jarib יריב
Joktan יקטן
meeting יקרה
Jerub-Besheth ירבשׁת
Jerusalem ירושׁלם
Jeribai יריבי
Jakim יקים
lay snares יקשׁ
Jered ירד
month ירח
Jeriah יריה
Jeriah יריהו
quiver ירע
existence ישׁ
Jeshohaiah ישׁוחיה
Jeshimon ישׁימן
Jericho יריחו
Irpeel ירפאל
sit ישׁב
Ishvite ישׁוי
aged ישׁישׁ
Jerimoth ירימות
greens ירק
Jeshebeab ישׁבאב
Ishvi ישׁוי
Jeshishai ישׁישׁי
curtain יריעה
greens ירק
Ishbah ישׁבח
Jeshua ישׁוע
be desolate ישׁם
Jerioth יריעות
spit ירק
Jashubi Lehem ישׁבי לחם
Jeshua ישׁוע
Ishma ישׁמא
upper thigh ירך
paleness ירקון
Jashubite ישׁבי
salvation ישׁועה
Ishmael ישׁמעאל
backside ירכה
Jarkon ירקון
Ishbi-Benob ישׁבי
<uncertain> ישׁח
Ishmaelite ישׁמעאלי
Jarmuth ירמות
Jorkeam ירקעם
Jashobeam ישׁבעם
hold ישׁט
Ishmaiah ישׁמעיה
Jeremoth ירמות
pale-green ירקרק
Ishbak ישׁבק
Jesse ישׁי
Ishmaiah ישׁמעיהו
Jeremai ירמי
trample down ירשׁ
Joshbekashah ישׁבקשׁה
Ishijah ישׁיה
Ishmerai ישׁמרי
Jeremiah ירמיה
possession ירשׁה
Jashub ישׁוב
Isshiah ישׁיהו
sleeping ישׁן
Jeremiah ירמיהו
possession ירשׁה
Ishvah ישׁוה
wilderness ישׁימון
old ישׁן
Jashen ישׁן
right ישׁר
Israelite ישׂראלי
remain יתר
sleep ישׁן
uprightness ישׁר
Issachar ישׂשׂכר
Jether יתרא
be old ישׁן
Jesher ישׁר
peg יתד
remainder יתרה
Jeshanah ישׁנה
be right ישׁר
orphan יתום
Jethro יתרו
help ישׁע
uprightness ישׁרה
Ithlah יתלה
profit יתרון
help ישׁע
Jeshurun ישׁרון
Ithmah יתמה
Ithrite יתרי
Ishi ישׁעי
aged ישׁשׁ
Jathniel יתניאל
Ithran יתרן
Jeshaiah ישׁעיה
Isaac ישׂחק
Ithnan יתנן
Ithream יתרעם
Isaiah ישׁעיהו
Jesimiel ישׂימאל
remainder יתר
appendage of liver יתרת
jade ישׁפה
<uncertain> ישׂם
sinew יתר
Jetheth יתת
Ishpah ישׁפה
Israel ישׂראל
Jether יתר
Ishpan ישׁפן
Jesarelah ישׂראלה
Jattir יתר 
