Baal Perazim בעל פרצים
Beeliada בעלידע
burning בערה
Baasha בעשׁא
Bezalel בצלאל
gather grapes בצר
half-shekel בקע
grain בר
Be Eshtarah בעשׁתרה
Bazluth בצלות
<uncertain> בצרה
split בקע
cleanness בר
Baaseiah בעשׂיה
profit בצע
Bozrah בצרה
valley בקעה
pure בר
terrify בעת
cut off בצע
<uncertain> בצרון
the Valley of Aven בקעת און
son בר
terror בעתה
dough בצק
drought בצרת
lay waste בקק
open field בר
silt בץ
swell בצק
Bakbuk בקבוק
cattle בקר
potash בר
marshland בצה
Bozkath בצקת
bottle בקבק
morning בקר
cut down ברא
fortified בצור
ore בצר
Bakbukiah בקבקיה
attend to בקר
fatten ברא
Bezai בצי
<place of refuge> בצר
Bakbuk בקבקר
care בקרה
create ברא
vintage בציר
Bezer בצר
Bukki בקי
punishment בקרת
Merodach-Baladan בראדך בלאדן
forest בציר
humble בצר
Bukkiah בקיהו
seek בקשׁ
Beraiah בראיה
onion בצל
be impossible בצר
breach בקיע
request בקשׁה
cuckoo ברבר
hail ברד
Berothah ברותה
Bariah בריח
Beracah ברכה
purge ברר
speckled ברד
Birzaith ברזית
<uncertain> ברים
Berekiah ברכיה
Birsha ברשׁע
Bered ברד
iron ברזל
Beriah בריעה
Berekiah ברכיהו
Berothai ברתי
Bered ברד
Barzillai ברזלי
Beriite בריעי
two-coloured stuff ברמים
cooked בשׁל
hail ברד
fleeing ברח
covenant ברית
Bera ברע
boil בשׁל
<uncertain> ברה
run away ברח
alkaline salt ברית
lightning ברק
Bishlam בשׁלם
eat ברה
Barhumite ברחמי
knee ברך
Barak ברק
Bashan בשׁן
Baruch ברוך
Beri ברי
kneel ברך
lighten ברק
shame בשׁנה
pure ברור
fat בריא
bless ברך
Barkos ברקוס
draw farm-rent בשׁס
juniper ברושׁ
what is created בריאה
Barakel ברכאל
<uncertain> ברקנים
shame בשׁת
bread of consolation ברות
bread of consolation בריה
blessing ברכה
beryl ברקת
Besor בשׂור
juniper ברות
bar בריח
pool ברכה
beryl ברקת
balsam-tree בשׂם
Basemath בשׂמת
Bethuel בתואל
flesh בשׂר
virgin בתולה
announce בשׂר
virginity בתולים
report בשׂרה
Bithiah בתיה
Bath Rabbim בת רבים
slaughter בתק
Bathsheba בת שׁבע
piece בתר
daughter of Shua בת שׁוע
<uncertain> בתר
daughter בת
cut בתר
bath בת
gully בתרון
gully בתה
<uncertain> בתה
<father of Laban> בתואל 
