Aharah אחרח
plug אטם
where איה
ram, despot איל
doe אילת
Aharhel אחרחל
left-handed אטר
black bird איה
mighty tree איל
frightful אים
end אחרית
Ater אטר
Ayyah איה
pillar איל
fright אימה
backwards אחרנית
close אטר
Job איוב
strength איל
Emim אימים
satrap אחשׁדרפן
where אי
Jezebel איזבל
doe אילה
whence אין
Ahasuerus אחשׁורושׁ
coast, island אי
how איך
<judge> אילון
<NEG> אין
Ahashtarite אחשׁתרי
how אי
Ichabod איכבוד
Elon אילון
if אין
Iezer איעזר
Ethan איתן
eat אכל
where אל
wail אלה
Iezerite איעזרי
only אך
food אכלה
power אל
be unable אלה
where איפה
Akkad אכד
surely אכן
these אל
swear אלה
ephah איפה
deceitful אכזב
pressure אכף
Ela אלא
god(s) אלהים
Ish-Bosheth אישׁ בשׁת
Aczib אכזיב
press hard אכף
ice-crystal אלגבישׁ
if אלו
man אישׁ
cruel אכזר
farmer אכר
Eldad אלדד
god אלוה
Ishhod אישׁהוד
cruel אכזרי
Acshaph אכשׁף
Eldaah אלדעה
Elul אלול
pupil of eye אישׁון
cruelty אכזריות
to אל
these אלה
big tree אלון
<uncertain> איתון
food אכילה
El-Berith אל ברית
big tree אלה
big tree אלון
Ithiel איתיאל
Achish אכישׁ
god אל
curse אלה
Elon אלון
Ithamar איתמר
food אכל
not אל
big tree אלה
Allon אלון
ever-flowing איתן
<uncertain> אכל
nothingness אל
Elah אלה
chief אלוף
familiar אלוף
Elijah אליה
Eliam אליעם
Elishua אלישׁוע
Almodad אלמודד
Alush אלושׁ
Elijah אליהו
Elienai אליעני
Eliashib אלישׁיב
Allammelech אלמלך
Elzabad אלזבד
Elihu אליהו
Eliphaz אליפז
Elishama אלישׁמע
widowhood אלמן
be corrupt אלח
Elihu אליהוא
Eliphal אליפל
Elisha אלישׁע
widower אלמן
Elhanan אלחנן
Eliehoenai אליהועיני
Eliphelehu אליפלהו
Elishaphat אלישׁפט
widow אלמנה
-elite אלי
Elioenai אליועיני
Eliphelet אליפלט
Eliathah אליתה
widowhood אלמנות
Eliab אליאב
Eliahba אליחבא
Elizur אליצור
alas אללי
stranger אלמני
Eliel אליאל
Elihoreph אליחרף
Elizaphan אליצפן
speechless אלם
Elonite אלני
Eliathah אליאתה
god אליל
Elika אליקא
<uncertain> אלם
Elnaam אלנעם
Elidad אלידד
Elimelech אלימלך
Eliakim אליקים
bind אלם
Elnathan אלנתן
Eliada אלידע
Eliasaph אליסף
Elisheba אלישׁבע
almug wood אלמגים
Ellasar אלסר
fat tail אליה
Eliezer אליעזר
Elishah אלישׁה
sheaf אלמה
Elead אלעד
Eleadah אלעדה
Elpaal אלפעל
cubit אמה
branch אמיר
door-post אמנה
Eluzai אלעוזי
press hard אלץ
clan אמה
wither אמל
care אמנה
Eleazar אלעזר
Elizaphan אלצפן
<uncertain> אמה
<uncertain> אמלה
trustworthy arrangement אמנה
Elealeh אלעלה
<uncertain> אלקום
Ammah אמה
decaying אמלל
Amana אמנה
Elasah אלעשׂה
Elkanah אלקנה
faithful אמון
fading away אמלל
Amnon אמנון
cattle אלף
Elkoshite אלקשׁי
fondling אמון
Amam אמם
really אמנם
thousand אלף
Eltolad אלתולד
Amon אמון
surely אמן
really אמנם
group of thousand אלף
