<relative> שׁ
Shemeber שׁמאבר
quiet שׁליו
draw out שׁלל
Shelomi שׁלמי
three שׁלשׁ
Shimeah שׁמאה
tyrant שׁליט
plunder שׁלל
Shalmai שׁלמי
Shelesh שׁלשׁ
Shimeam שׁמאם
third part שׁלישׁ
final offer שׁלם
Shelumiel שׁלמיאל
be three שׁלשׁ
Shamgar שׁמגר
adjutant שׁלישׁ
complete שׁלם
Shelemiah שׁלמיה
Shilshah שׁלשׁה
Shemed שׁמד
triangle שׁלישׁ
<uncertain> שׁלם
Shelemiah שׁלמיהו
Shalisha שׁלשׁה
destroy שׁמד
third שׁלישׁי
Salem שׁלם
Shelomith שׁלמית
day before yesterday שׁלשׁום
destruction שׁמה
Shammah שׁמה
eighth שׁמיני
fat שׁמן
Shemaah שׁמעה
dregs שׁמר
Shamhuth שׁמהות
thorn-bush שׁמיר
fat שׁמן
Shimeah שׁמעה
Shemer שׁמר
Samuel שׁמואל
diamond שׁמיר
be fat שׁמן
Simeon שׁמעון
Shomer שׁמר
Shammua שׁמוע
Shamir שׁמיר
eight שׁמנה
Shimeite שׁמעי
keep שׁמר
report שׁמועה
Shamir שׁמיר
hearsay שׁמע
Shimei שׁמעי
eyelid שׁמרה
Shammoth שׁמות
Shemiramoth שׁמירמות
sound שׁמע
Shemaiah שׁמעיה
guard שׁמרה
let loose שׁמט
desolate שׁמם
rumour שׁמע
Shemaiah שׁמעיהו
Shimron Meron שׁמרון מראון
remitting שׁמטה
be desolate שׁמם
Shema שׁמע
Simeonite שׁמעני
Samaria שׁמרון
Shammai שׁמי
desolation שׁממה
Shama שׁמע
Shimeath שׁמעת
Shimron שׁמרון
Shemida שׁמידע
<uncertain> שׁממה
Shema שׁמע
Shimeathite שׁמעתי
Shimron שׁמרון
Shemidaite שׁמידעי
horror שׁממון
hear שׁמע
<uncertain> שׁמץ
from Samaria שׁמרוני
heavens שׁמים
oil שׁמן
Shimea שׁמעא
<uncertain> שׁמצה
Shimri שׁמרי
Shemariah שׁמריה
Shen שׁן
two שׁנים
stamping שׁעטה
measure שׁער
Shemariah שׁמריהו
sleep שׁנא
taunt שׁנינה
cloth שׁעטנז
burst שׁער
vigil שׁמרים
shine שׁנא
repeat שׁנן
handful שׁעל
estimate שׁער
Shimrith שׁמרית
Shinab שׁנאב
sharpen שׁנן
Shaalbim שׁעלבים
horrible שׁערור
